department,course_number
PHDBA,289A
PHDBA,289S
PHDBA,297T
PHDBA,375
CELTIC,R1B
CELTIC,85
CELTIC,98
CELTIC,99
CELTIC,139
CELTIC,146B
CELTIC,173
CELTIC,H195A
CELTIC,H195B
CELTIC,198
CELTIC,199
CHM ENG,90
CHM ENG,98
CHM ENG,141
CHM ENG,143
CHM ENG,150A
CHM ENG,154
CHM ENG,160
CHM ENG,162
CHM ENG,170A
CHM ENG,C178
CHM ENG,185
CHM ENG,H193
CHM ENG,H194
CHM ENG,195
CHM ENG,196
CHM ENG,197
CHM ENG,198
CHM ENG,199
CHM ENG,245
CHM ENG,295Q
CHM ENG,296
CHM ENG,298
CHM ENG,299
CHM ENG,300
CHM ENG,602
CHEM,1A
CHEM,1AD
CHEM,1AL
CHEM,1B
CHEM,3A
CHEM,3AL
CHEM,3B
CHEM,3BL
CHEM,4B
CHEM,24
CHEM,49
CHEM,104B
CHEM,105
CHEM,C110L
CHEM,112B
CHEM,115
CHEM,120A
CHEM,125
CHEM,C130
CHEM,130B
CHEM,146
CHEM,C178
CHEM,C182
CHEM,192
CHEM,H193
CHEM,H194
CHEM,195
CHEM,196
CHEM,199
CHEM,208
CHEM,220B
CHEM,221B
CHEM,223A
CHEM,253A
CHEM,253B
CHEM,253C
CHEM,262
CHEM,268
CHEM,270A
CHEM,270B
CHEM,C271A
CHEM,C271B
CHEM,C271C
CHEM,295
CHEM,298
CHEM,299
CHEM,300
CHEM,301
CHEM,301A
CHEM,301B
CHEM,301C
CHEM,301D
CHEM,301W
CHEM,602
CHICANO,R1A
CHICANO,R1B
CHICANO,20
CHICANO,24
CHICANO,97
CHICANO,98
CHICANO,99
CHICANO,135B
CHICANO,141
CHICANO,143
CHICANO,150B
CHICANO,161
CHICANO,165
CHICANO,176
CHICANO,180
CHICANO,180AC
CHICANO,195
CHICANO,H195B
CHICANO,197
CHICANO,198
CHICANO,199
CY PLAN,113A
CY PLAN,114
CY PLAN,116
CY PLAN,118AC
CY PLAN,120
CY PLAN,190
CY PLAN,201B
CY PLAN,204B
CY PLAN,204C
CY PLAN,204D
CY PLAN,207
CY PLAN,208
CY PLAN,C217
CY PLAN,228
CY PLAN,230
CY PLAN,C240
CY PLAN,248
CY PLAN,252
CY PLAN,254
CY PLAN,C256
CY PLAN,260
CY PLAN,280C
CY PLAN,290
CIV ENG,11
CIV ENG,24
CIV ENG,C30
CIV ENG,60
CIV ENG,93
CIV ENG,98
CIV ENG,99
CIV ENG,100
CIV ENG,103
CIV ENG,C106
CIV ENG,107
CIV ENG,111L
CIV ENG,112
CIV ENG,114
CIV ENG,C116
CIV ENG,120
CIV ENG,121
CIV ENG,122L
CIV ENG,123L
CIV ENG,130N
CIV ENG,C133
CIV ENG,155
CIV ENG,165
CIV ENG,166
CIV ENG,171
CIV ENG,176
CIV ENG,177
CIV ENG,H194
CIV ENG,198
CIV ENG,199
CIV ENG,200C
CIV ENG,202A
CIV ENG,209
CIV ENG,210A
CIV ENG,212
CIV ENG,218A
CIV ENG,221
CIV ENG,222
CIV ENG,226
CIV ENG,227
CIV ENG,232
CIV ENG,C236
CIV ENG,246
CIV ENG,247
CIV ENG,C250N
CIV ENG,255
CIV ENG,256
CIV ENG,C258
CIV ENG,259
CIV ENG,264
CIV ENG,C265
CIV ENG,268B
CIV ENG,268D
CIV ENG,268I
CIV ENG,272
CIV ENG,273
CIV ENG,C276
CIV ENG,277
CIV ENG,C289
CIV ENG,290
CIV ENG,290F
CIV ENG,C291F
CIV ENG,295
CIV ENG,297
CIV ENG,298
CIV ENG,299
CIV ENG,301
CIV ENG,601
CIV ENG,602
CLASSIC,10B
CLASSIC,17B
CLASSIC,24
CLASSIC,28
CLASSIC,34
CLASSIC,39K
CLASSIC,124
CLASSIC,130
CLASSIC,175F
CLASSIC,201B
CLASSIC,203
CLASSIC,225
CLASSIC,239
CLASSIC,270
CLASSIC,302
GREEK,2
GREEK,10
GREEK,101
GREEK,105
GREEK,123
LATIN,1
LATIN,2
LATIN,40
LATIN,100
LATIN,101
LATIN,102
LATIN,140
COG SCI,1
COG SCI,C101
COG SCI,C103
COG SCI,C126
COG SCI,C140
COG SCI,C142
COLWRIT,1
COLWRIT,R1A
COLWRIT,R4B
COLWRIT,9C
COLWRIT,10A
COLWRIT,10B
COLWRIT,21
COLWRIT,25AC
COLWRIT,50AC
COLWRIT,98
COLWRIT,99
COLWRIT,106
COLWRIT,110
COLWRIT,130
COLWRIT,150AC
COLWRIT,151
COLWRIT,161
COLWRIT,198
COLWRIT,199
COMPBIO,299
COM LIT,R1A
COM LIT,R1B
COM LIT,98
COM LIT,100
COM LIT,112B
COM LIT,152
COM LIT,155
COM LIT,170
COM LIT,171
COM LIT,190
COM LIT,H195
COM LIT,199
COM LIT,202B
COM LIT,212
COM LIT,240
COM LIT,254
COM LIT,298
COM LIT,299
COM LIT,300
COM LIT,601
COM LIT,602
CRIT TH,240
CRIT TH,290
CRIT TH,298
DEMOG,98
DEMOG,145AC
DEMOG,C175
DEMOG,198
DEMOG,260
DEMOG,298
DEMOG,299
DEMOG,602
DEV STD,C100
DEV STD,H195
EPS,3
EPS,C12
EPS,39A
EPS,39B
EPS,50
EPS,C100
EPS,100B
EPS,102
EPS,115
EPS,116
EPS,118
EPS,119
EPS,122
EPS,130
EPS,150
EPS,C180
EPS,C182
EPS,C183
EPS,207
EPS,217
EPS,220
EPS,225
EPS,230
EPS,C241
EPS,251
EPS,254
EPS,255
EPS,256
EPS,C276
EPS,280
EPS,290
EPS,C292
EPS,298
EPS,C301
EA LANG,105
EA LANG,111
EA LANG,C128
EA LANG,204
CHINESE,1B
CHINESE,7B
CHINESE,10B
CHINESE,10X
CHINESE,10Y
CHINESE,100B
CHINESE,100XB
CHINESE,100YB
CHINESE,101
CHINESE,110B
CHINESE,112
CHINESE,122
CHINESE,C140
CHINESE,155
CHINESE,179
CHINESE,234
CHINESE,255
CHINESE,298
CHINESE,299
CHINESE,601
CHINESE,602
JAPAN,1B
JAPAN,7B
JAPAN,10B
JAPAN,100B
JAPAN,100X
JAPAN,102
JAPAN,130
JAPAN,155
JAPAN,161
JAPAN,177
JAPAN,230
JAPAN,255
JAPAN,298
JAPAN,299
JAPAN,601
JAPAN,602
KOREAN,1B
KOREAN,1BX
KOREAN,7B
KOREAN,10B
KOREAN,10BX
KOREAN,100B
KOREAN,100BX
KOREAN,102
